name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_short_fraction,max_target_short_fraction,hedge_gate_active_share,bars_with_short_target,max_debt_ETH_value,final_debt_ETH_value,usd_gap_vs_reference,sol_gap_vs_reference,dd_gap_vs_reference
rs_refine_lb24_u0.005,69809.8275085028,558.7021009083858,57.43072635108229,37.94483512676391,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.004641217713019847,0.05,0.8210199374243496,4173,3231.5145295194548,367.95517582494756,1518.1756625028065,12.150264908385793,-0.00904064891771128
rs_refine_lb18_u0.005,69755.6910690011,558.2688360864433,57.43189000238033,37.94484585023854,2.2082482947634117,1.4694077987794505,87,3058,1590.297217804576,0,False,0.004343184050060521,0.05,0.8167721013086076,3897,2992.046892804722,375.8061044314183,1464.0392230011057,11.717000086443363,-0.007876997619675308
dd_refine_dd0.070_w0.0050,69675.74545907161,557.6290152786843,57.529435700761155,37.94153671860451,2.202229059531211,1.4707340423252402,83,3153,1584.0173276043429,0,False,0.0021153538721538356,0.05,0.7667115810628725,1867,2973.2025386709665,399.55658406537134,1384.0936130716145,11.077179278684298,0.08966870076115185
dd_refine_dd0.070_w0.0030,69665.59487745889,557.5477781309235,57.50092510959745,37.941537116765964,2.2021381678416203,1.470734024416202,83,3185,1584.7905093759937,0,False,0.0031624683125128466,0.05,0.7907369767282527,2790,2972.5768780728185,374.89606598786133,1373.9430314588972,10.995942130923481,0.06115810959745005
rs_refine_lb36_u0.000,69653.46139736204,557.4506714474753,57.433949484618076,37.94489397465895,2.207746926122511,1.4694196305701506,85,3080,1588.5520303410954,0,False,0.0057083152533857085,0.05,0.8402950647452441,5164,3188.663097763281,377.500272764382,1361.8095513620501,10.898835447475335,-0.0058175153819277625
dd_refine_dd0.050_w0.0050,69640.31047813401,557.3454219938696,57.54502083606289,37.941536718604546,2.202088560789108,1.4707340423252402,83,3165,1583.248163427715,0,False,0.0022164112636170554,0.05,0.7708452280357183,1956,2971.690457607638,399.35338164756143,1348.6586321340146,10.79358599386967,0.10525383606288585
rs_refine_lb24_u0.000,69619.56513375092,557.1793928271381,57.430728797360096,37.94483502543176,2.2075598792636475,1.4694051374432535,87,3061,1587.1947423963327,0,False,0.005487930207595862,0.05,0.8357274990293923,5002,3245.3279316504468,360.3832095993187,1327.9132877509255,10.627556827138164,-0.009038202639906956
dd_refine_dd0.050_w0.0030,69597.77655570654,557.0050144514329,57.50861448219307,37.94153711706987,2.201864349255989,1.4707340244025344,83,3197,1583.3164840157788,0,False,0.0033206202754242128,0.05,0.7952588667869459,2929,2969.68312280876,374.5311068767969,1306.1247097065498,10.453178451432905,0.06884748219306402
dd_refine_dd0.050_w0.0060,69593.5978667787,556.9715715628547,57.530879948358006,37.94153686770843,2.2018868198218904,1.4707340356186451,83,3165,1582.161370389216,0,False,0.0018475803320620278,0.05,0.7648845547765318,1631,2969.697091369912,399.08360370203565,1301.9460207787051,10.419735562854726,0.09111294835800265
dd_refine_dd0.030_w0.0050,69578.71674130736,556.8524749204271,57.55076190619134,37.94153671860452,2.201980731089237,1.47073404232524,83,3181,1581.910289140198,0,False,0.002294059880786535,0.05,0.7697946879210724,2024,2969.062130440246,399.00017146051687,1287.0648953073687,10.300638920427104,0.1109949061913369
dd_refine_dd0.050_w0.0040,69567.21117869088,556.7603935869618,57.55370968655333,37.94153671836478,2.2017552095239954,1.4707340423360242,83,3183,1582.2646320289882,0,False,0.0026708840523443035,0.05,0.7826752232397743,2356,2968.379048958373,374.37173568257384,1275.5593326908856,10.208557586961774,0.11394268655332951
dd_refine_dd0.100_w0.0030,69484.37591830066,556.0974463249353,57.48058000047308,37.941537116766014,2.200860522871059,1.4707340244162017,83,3161,1580.6034195120974,0,False,0.0028313197981135957,0.05,0.7918331925000571,2499,2964.84440569805,373.92086043639637,1192.724072300669,9.545610324935296,0.04081300047307934
rs_refine_lb48_u0.000,68541.82121765637,548.5539913377861,58.48361442845018,37.95630215231874,2.2012088342648988,1.4722649705795459,69,3135,1575.7253642711562,0,False,0.00596181515061548,0.05,0.8474889807477105,5365,3006.772046288009,380.5574105607678,250.169371656375,2.002155337786121,1.043847428450178
static_light_hedge,68291.65184641142,546.5518355054935,57.43976738612188,37.945007890300374,2.204466058176605,1.4694476386357505,89,3080,1553.3952955172863,0,False,0.01347660264462055,0.05,1.0,12232,2992.915358724631,515.9014233456626,4.11426299251616e-07,-4.945064802086563e-07,3.8612187580611135e-07
dd_refine_dd0.030_w0.0030,66903.20106805082,535.4397844581898,58.61535883877609,37.84987023136163,2.191862720002635,1.4726080799566585,83,3399,1520.168918827696,0,False,0.0034433736040377283,0.05,0.7955557585584763,3036,2986.4587845604133,1090.7113177767765,-1388.4507779491687,-11.11205154181016,1.1755918387760858
dd_refine_dd0.100_w0.0075,66874.66284737649,535.2113873339455,59.239654950417155,37.94016936611725,2.1919497289261947,1.480421357727272,66,3172,1525.4263243395403,0,False,0.0011778610089752666,0.05,0.7544933427729692,1042,2854.0825390601094,400.27111970462704,-1416.9889986235066,-11.340448666054499,1.7998879504171512
dd_refine_dd0.100_w0.0050,66670.83593075126,533.5801194938076,59.24308909699707,37.94572982102649,2.179789649907192,1.469720811057605,72,3358,1530.3710529680056,0,False,0.0019035330120812115,0.05,0.7670998241487199,1681,2846.1398839130306,331.32312859067946,-1620.815915248735,-12.971716506192365,1.8033220969970642
rs_refine_lb18_u0.000,66603.6893886578,533.0427322021433,59.46200711491703,37.94831731523845,2.1802890762019143,1.4708696151451257,66,3205,1528.9428657053754,0,False,0.005143649941763538,0.05,0.836937903944093,4553,3092.5639499462145,342.8143354444892,-1687.9624573421897,-13.50910379785671,2.0222401149170253
dd_refine_dd0.070_w0.0075,66425.04147297223,531.6129769745676,59.34210414082847,37.95212448510752,2.158639495178443,1.4722889931886076,70,3370,1513.1120174015234,0,False,0.001327448786169411,0.05,0.7525749651723114,1174,3347.5412448513403,1601.7905201536198,-1866.6103730277682,-14.938859025432407,1.9023371408284646
dd_refine_dd0.050_w0.0075,66335.61712175838,530.8972958924239,59.396839612245586,37.952124485107504,2.1581007014690536,1.4722889931886083,70,3376,1511.16498483367,0,False,0.0013885399776189284,0.05,0.7547902345444996,1227,3343.034635636742,1599.6341183679672,-1956.0347242416174,-15.654540107576054,1.9570726122455824
dd_refine_dd0.030_w0.0075,66283.63179118566,530.4812468282165,59.39823937123584,37.952124485107504,2.158096893114283,1.472288993188607,70,3386,1510.0358433334065,0,False,0.0014319318519195195,0.05,0.757919017059858,1266,3340.4147947701003,1598.3805307472044,-2008.020054814333,-16.070589171783467,1.9584723712358354
rs_refine_lb24_u-0.005,66276.5357644519,530.4244558979743,59.1459760921852,37.943921942705096,2.1918482488554853,1.4691806716127591,75,3127,1511.9516020672854,0,False,0.00607486240208281,0.05,0.8530385730924703,5410,2906.788329646531,513.8471447250699,-2015.116081548098,-16.127380102025654,1.7062090921851976
rs_refine_lb18_u-0.005,65428.54238555772,523.6377942021426,59.40007284619087,37.92520375908224,2.1810840531560993,1.4765198756758482,93,3186,1485.6414116454737,0,False,0.006115399547810993,0.05,0.8529472217781533,5478,947.3685315643081,551.6210190202323,-2863.109460442276,-22.914041797857408,1.9603058461908631
rs_refine_lb12_u-0.005,65318.125569920376,522.7541062018437,59.05466407754234,37.93344578802223,2.171807374242838,1.476791451270132,84,3277,1484.249601703672,0,False,0.006096558339233105,0.05,0.8551624911503414,5414,748.7858491996845,450.09084965875263,-2973.5262760796177,-23.797729798156297,1.614897077542338
rs_refine_lb12_u0.000,65252.50372564228,522.2289213736877,59.00863359786771,37.9264112134964,2.1959055594045744,1.4754738740637008,101,3164,1482.282487758458,0,False,0.005079133076027131,0.05,0.8307945280562724,4570,941.5899843388318,535.0766545500987,-3039.148120357713,-24.32291462631224,1.5688665978677037
rs_refine_lb12_u0.005,65208.912522917635,521.8800522042228,59.00860844209508,37.92658581956109,2.1947104106207314,1.475474470957562,101,3152,1481.1619636093258,0,False,0.004057711192819787,0.05,0.8074314294196908,3665,944.3858123173452,532.4895549187156,-3082.739323082358,-24.671783795777174,1.5688414420950778
