name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_short_fraction,max_target_short_fraction,hedge_gate_active_share,bars_with_short_target,max_debt_ETH_value,final_debt_ETH_value,usd_gap_vs_reference,sol_gap_vs_reference,dd_gap_vs_reference
dd_slope_dd0.050_w0.0050,69640.31047813401,557.3454219938696,57.54502083606289,37.941536718604546,2.202088560789108,1.4707340423252402,83,3165,1583.248163427715,0,False,0.0022164112636170554,0.05,0.7708452280357183,1956,2971.690457607638,399.35338164756143,1348.6586321340146,10.79358599386967,0.10525383606288585
rs_lb24_u0.000,69619.56513375092,557.1793928271381,57.430728797360096,37.94483502543176,2.2075598792636475,1.4694051374432535,87,3061,1587.1947423963327,0,False,0.005487930207595862,0.05,0.8357274990293923,5002,3245.3279316504468,360.3832095993187,1327.9132877509255,10.627556827138164,-0.009038202639906956
dd_slope_dd0.100_w0.0000,69532.99960279661,556.4865914589565,57.438205110757856,37.941561515911545,2.2011030965859515,1.4707329269536764,83,3179,1581.6365111902205,0,False,0.005388014707561606,0.05,0.8405919565167744,4828,2966.911368225061,373.8698251250385,1241.3477567966183,9.934755458956488,-0.0015618892421471742
dd_slope_dd0.050_w0.0025,69526.71585051689,556.436301324665,57.516961819919224,37.941537566459665,2.201583119396803,1.4707340041892754,83,3209,1581.3293006309925,0,False,0.003668326215543426,0.05,0.8026354854180464,3236,2966.6508745156934,374.1429443929716,1235.0640045168984,9.88446532466503,0.07719481991922095
dd_slope_dd0.100_w0.0025,69428.4249024463,555.6496590832037,57.479747770921605,37.94153756645969,2.2006385709255296,1.4707340041892756,83,3169,1578.9453859990751,0,False,0.0031407723753625505,0.05,0.7954872450727385,2773,2962.456876230519,373.6140129704462,1136.7730564463127,9.097823083203707,0.039980770921602016
rs_lb72_u0.000,69383.43848483625,555.2896237281813,57.43962685422317,37.94500925706792,2.2069359189823383,1.4694479746865545,88,3068,1577.1006847982007,0,False,0.006464247379359171,0.05,0.8590449220088154,5776,3040.763104880124,524.132297850848,1091.78663883626,8.737787728181274,-0.00014014577683241214
static_light_hedge,68291.65184641142,546.5518355054935,57.43976738612188,37.945007890300374,2.204466058176605,1.4694476386357505,89,3080,1553.3952955172863,0,False,0.01347660264462055,0.05,1.0,12232,2992.915358724631,515.9014233456626,4.11426299251616e-07,-4.945064802086563e-07,3.8612187580611135e-07
rs_lb168_u0.000,67751.05099656641,542.225298091768,58.82722100732124,37.91170776798101,2.195406571188435,1.4737515799354564,98,3083,1524.9828205577542,0,False,0.006776554685180534,0.05,0.8684084317263114,6020,1900.5484717028598,707.8298628447527,-540.6008494335838,-4.326537908232012,1.3874540073212387
dd_slope_dd0.000_w0.0000,67677.96116392006,541.6403454495403,59.24955197553751,37.95558170802346,2.1986098414826425,1.4732854475705557,82,3267,1556.438031250338,0,False,0.0063808893050448755,0.05,0.8640007308105145,5645,3181.1089672960843,332.69918386328226,-613.690682079934,-4.911490550459689,1.8097849755375037
dd_slope_dd0.020_w0.0000,67677.96116392006,541.6403454495403,59.24955197553751,37.95558170802346,2.1986098414826425,1.4732854475705557,82,3267,1556.438031250338,0,False,0.006334071756457397,0.05,0.8630643798387649,5604,3181.1089672960843,332.69918386328226,-613.690682079934,-4.911490550459689,1.8097849755375037
dd_slope_dd0.050_w0.0000,67677.96116392006,541.6403454495403,59.24955197553751,37.95558170802346,2.1986098414826425,1.4732854475705557,82,3267,1556.438031250338,0,False,0.006079429967798663,0.05,0.8579715440655903,5381,3181.1089672960843,332.69918386328226,-613.690682079934,-4.911490550459689,1.8097849755375037
rs_lb72_u0.010,67132.92007589493,537.2782719159258,58.76333537477293,37.63465383425962,2.1994393081386643,1.4723795153583872,117,3053,1493.478044418451,0,False,0.005589558544773564,0.05,0.8413684426884692,4980,2826.1846181284536,1698.8032525260883,-1158.7317701050633,-9.273564084074224,1.3235683747729254
rs_lb168_u0.010,66403.9915982105,531.44451058992,58.8266219958162,37.80849176249763,2.16977862191994,1.4737483993702694,110,3077,1486.7902243932285,0,False,0.006234727202137621,0.05,0.8552538424646584,5558,2137.0674321007114,1267.4382800399271,-1887.6602477894921,-15.107325410079966,1.3868549958161935
combo_dd0.050_w0.0000_rs168_u0.000,65391.288502417476,523.3396438768906,59.01013144158087,37.9619832553937,2.181440886028112,1.475389838876102,68,3902,1513.8981169658582,0,False,0.003069404161052367,0.05,0.7932034622148126,2756,3936.745758843033,187.12943245131646,-2900.3633435825177,-23.21219212310939,1.570364441580864
combo_dd0.050_w0.0025_rs72_u0.000,64057.14074360746,512.6621908251898,59.13026357396052,37.92349608809067,2.131770932859697,1.4764898571702918,94,3508,1453.302984762897,0,False,0.0018886884235046932,0.05,0.7660721218626533,1663,932.7980592316743,560.6995264244861,-4234.511102392535,-33.8896451748102,1.690496573960516
combo_dd0.100_w0.0000_rs72_u0.000,62565.75948583666,500.72636643326655,59.22940166388672,38.685044612990616,2.11168262882387,1.4692995648884595,75,4395,1475.392417383182,0,False,0.0025270057322949735,0.05,0.7752757667800946,2303,3729.381884617909,106.71984206502752,-5725.892360163336,-45.82546956673343,1.7896346638867158
combo_dd0.050_w0.0000_rs72_u0.000,62217.5862096094,497.93986562312443,59.22940524242115,38.68296296659729,2.1110336942579098,1.4692995651199467,75,4574,1465.9190802073506,0,False,0.00286043802955215,0.05,0.7938429214150319,2522,3742.521405714282,106.12524234005714,-6074.065636390595,-48.61197037687555,1.789638242421148
