name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_long_fraction,min_target_long_fraction,avg_target_short_fraction,avg_realized_vol_pct,p95_realized_vol_pct,vol_capped_share,recovery_boost_active_share,usd_gap_vs_reference,sol_gap_vs_reference,dd_gap_vs_reference
rs_lb24_u0.0050_g3_0.050_g2_0.050,69809.8275085028,558.7021009083858,57.43072635108229,37.94483512676391,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.5551830451960628,0.0,0.0047651129330623255,0.0,0.0,0.0,0.0,-0.00249149720184505,0.00010090838577525574,-0.00027364891770531585
rv336_dd_medium_plus_c,61718.54529678772,493.945940750602,55.621280376690116,37.73600565839686,2.25520122877763,1.4759038673808291,87,3569,1365.6360116770225,0,False,0.5305401172315952,0.0,0.004653207573023957,0.5617597137106976,1.8048303395232268,0.1371868362756069,0.0,-8091.284703212281,-64.75605924939799,-1.8097196233098813
rv336_dd_medium_plus_e,64322.48393416791,514.7857857876584,56.11576863850725,37.93000386155322,2.2644175309565573,1.4797582584777287,82,3439,1450.5805028109344,0,False,0.5337376372390072,0.0,0.004654349464452919,0.5617597137106976,1.8048303395232268,0.10925617192317355,0.0,-5487.346065832091,-43.91621421234163,-1.3152313614927493
rv336_dd_c_tight_1,60587.72015922276,484.8957195616067,55.786165689291934,37.81897132692613,2.2478518642594856,1.479760757420405,82,3559,1363.6952187032289,0,False,0.5287981618567121,0.0,0.00472057916733277,0.5617597137106976,1.8048303395232268,0.13947061913353279,0.0,-9222.109840777244,-73.80628043839329,-1.6448343107080632
rv336_dd_c_tight_1_rec_t1.150_dd0.20_w0.010,72343.6569696535,578.9808480964666,54.357136952894336,37.83371331576647,2.2996139405885447,1.4540384523439782,27,3954,1608.6144511645932,0,False,0.532877983808387,0.0,0.004706876470185215,0.5617597137106976,1.8048303395232268,0.12218238289903396,0.00417932263000434,2533.826969653499,20.278848096466618,-3.073863047105661
rv336_dd_c_tight_1_rec_t1.200_dd0.20_w0.010,73198.11375609953,585.8192377438937,54.26889737825877,37.83362611961997,2.302795218827974,1.4231292131903794,28,3977,1624.0546173425166,0,False,0.5330623992741645,0.0,0.005083700641742983,0.5617597137106976,1.8048303395232268,0.12206819375613767,0.004224998287162857,3388.283756099525,27.117237743893725,-3.1621026217412265
rv336_dd_c_tight_1_rec_t1.225_dd0.20_w0.010,74489.43397462161,596.153933370321,54.28042252246084,37.83384468075865,2.307798615158218,1.4086214294040298,29,3969,1650.5487319044582,0,False,0.5331286289770443,0.0,0.004648640007308105,0.5617597137106976,1.8048303395232268,0.12218238289903396,0.00417932263000434,4679.603974621612,37.45193337032106,-3.1505774775391586
rv336_dd_c_tight_1_rec_t1.250_dd0.20_w0.010,74830.2337749798,598.881422768946,54.31571357675088,37.833774688936394,2.3091386190786762,1.39469307799972,32,3976,1654.6379709804812,0,False,0.5331817269284911,0.0,0.004639504875876402,0.5617597137106976,1.8048303395232268,0.12234224769908877,0.00415648480142508,5020.403774979801,40.17942276894598,-3.115286423249117
rv336_dd_c_tight_1_rec_t1.200_dd0.22_w0.012,72685.54288843738,581.7170299194669,55.744582531144516,37.81893025713341,2.3037562851719704,1.4221535838858794,81,3853,1606.806713410189,0,False,0.5310946013196461,0.0,0.0048313426359421745,0.5617597137106976,1.8048303395232268,0.12960467718729304,0.0024893233151391967,2875.7128884373815,23.015029919466883,-1.6864174688554812
rv336_dd_c_tight_1_rec_t1.250_dd0.22_w0.012,73360.71820918543,587.1205939110479,55.7399342862237,37.81891266818139,2.3063515517044864,1.3937721068858913,81,3860,1621.4934920164858,0,False,0.5313148869166808,0.0,0.004784525087354695,0.5617597137106976,1.8048303395232268,0.1293534610729212,0.0024664854865599378,3550.888209185432,28.41859391104788,-1.6910657137762968
rv336_dd_c_tight_2,62851.839781252915,503.01592461987127,54.96971994570392,37.73600198839709,2.266388346266998,1.4553514751429553,92,3539,1381.74666661302,0,False,0.5298411868708168,0.0,0.0046109575901523295,0.5617597137106976,1.8048303395232268,0.14157169936282457,0.0,-6957.990218747087,-55.68607538012873,-2.4612800542960755
rv336_dd_c_tight_2_rec_t1.150_dd0.20_w0.010,71637.59319295252,573.3300775746501,54.6989496346182,37.83374873097035,2.297164447744761,1.4540489328917872,25,3996,1592.1842761109474,0,False,0.5326256116531336,0.0,0.004708018361614178,0.5617597137106976,1.8048303395232268,0.1283485966154338,0.00417932263000434,1827.7631929525232,14.628077574650092,-2.732050365381795
rv336_dd_c_tight_2_rec_t1.200_dd0.20_w0.010,64559.125529618796,516.6796761073933,55.137518063737666,37.83006331919328,2.2666497221564432,1.4231391574433363,29,4204,1434.851872454854,0,False,0.5309793218643658,0.0,0.004632653527302625,0.5617597137106976,1.8048303395232268,0.13773494416150914,0.004704592687327289,-5250.704470381206,-42.022323892606664,-2.2934819362623315
rv336_dd_c_tight_2_rec_t1.225_dd0.20_w0.010,69035.26077248146,552.5030874148176,55.139247662919466,37.83199607964247,2.2864204432122643,1.408630375880328,28,4102,1527.1298067829102,0,False,0.5315285716416971,0.0,0.004666910270171513,0.5617597137106976,1.8048303395232268,0.136136296160961,0.00433918743005915,-774.5692275185429,-6.19891258518237,-2.2917523370805313
rv336_dd_c_tight_2_rec_t1.250_dd0.20_w0.010,69517.36387836754,556.361455609184,55.17223088761798,37.83197460777885,2.2889301792061505,1.3947012388773625,38,4119,1530.4426190167894,0,False,0.5315785532354829,0.0,0.004622376504441959,0.5617597137106976,1.8048303395232268,0.1360906205038025,0.004362025258638409,-292.4661216324603,-2.340544390816035,-2.2587691123820193
rv336_dd_c_tight_2_rec_t1.200_dd0.22_w0.012,73720.12253797606,589.9969790954466,55.58313216537057,37.81893026113022,2.3087845051180342,1.422168302701944,59,3851,1627.7238777437717,0,False,0.5313374392287586,0.0,0.00479822778450225,0.5617597137106976,1.8048303395232268,0.134103729417407,0.0024664854865599378,3910.2925379760563,31.294979095446593,-1.847867834629426
rv336_dd_c_tight_2_rec_t1.250_dd0.22_w0.012,74744.22941016211,598.1931125263073,55.60744856749287,37.81888252207711,2.3128390242468355,1.3937778025653351,59,3868,1649.7280213375082,0,False,0.5315258513145374,0.0,0.004688606207321808,0.5617597137106976,1.8048303395232268,0.13323589193139515,0.0024664854865599378,4934.3994101621065,39.49111252630735,-1.8235514325071307
rv336_dd_c_tight_3,60842.44756798462,486.9343542855912,55.61830001316993,37.81897132692606,2.2497552298861208,1.4797607574204057,82,3516,1373.0053543918661,0,False,0.5298574818233598,0.0,0.004586977870144107,0.5617597137106976,1.8048303395232268,0.13899102473336836,0.0,-8967.38243201538,-71.76764571440879,-1.8126999868300686
rv336_dd_c_tight_3_rec_t1.150_dd0.20_w0.010,68464.53804603507,547.9354785597044,54.81218495755168,37.832503098631854,2.2831466084171357,1.4540384557587747,27,4036,1519.9211311985532,0,False,0.5330367538274875,0.0,0.0048644574873821,0.5617597137106976,1.8048303395232268,0.12786900221526937,0.004316349601479892,-1345.2919539649301,-10.766521440295605,-2.6188150424483183
rv336_dd_c_tight_3_rec_t1.200_dd0.20_w0.010,69633.02912852263,557.2871478873359,54.84365969610129,37.832604623231354,2.2883532935188464,1.42312921666038,28,4043,1541.154897129621,0,False,0.5331657875589603,0.0,0.0046315116358736615,0.5617597137106976,1.8048303395232268,0.12761778610089752,0.004293511772900632,-176.80087147737504,-1.4148521126641072,-2.5873403038987064
rv336_dd_c_tight_3_rec_t1.225_dd0.20_w0.010,70376.11974526918,563.2342516628186,54.86934723841278,37.83262675006094,2.2914318435132106,1.4086214328371893,38,4056,1551.3849701965826,0,False,0.5331343855446639,0.0,0.004716011601616919,0.5617597137106976,1.8048303395232268,0.12786900221526937,0.004247836115742115,566.2897452691832,4.532251662818567,-2.5616527615872187
rv336_dd_c_tight_3_rec_t1.250_dd0.20_w0.010,71379.66009364979,571.2657870640239,55.04797565436379,37.83268450426991,2.2955852742806266,1.3946930801386244,41,4039,1567.1561952994457,0,False,0.5331876724610821,0.0,0.004672619727316327,0.5617597137106976,1.8048303395232268,0.12750359695800123,0.004247836115742115,1569.8300936497835,12.563787064023927,-2.3830243456362084
rv336_dd_c_tight_3_rec_t1.200_dd0.22_w0.012,73818.75436934704,590.7863494945741,55.63425628795058,37.818930257133424,2.3089527739181324,1.4221581850916905,81,3845,1633.0447007032424,0,False,0.5324010617410708,0.0,0.004815356155936694,0.5617597137106976,1.8048303395232268,0.12654440815767237,0.0024436476579806792,4008.9243693470344,32.0843494945741,-1.7967437120494196
rv336_dd_c_tight_3_rec_t1.250_dd0.22_w0.012,74048.43288999182,592.6245129251046,55.7930579189588,37.818912668181355,2.310057805582453,1.3937893175765588,81,3893,1637.7508648024373,0,False,0.532070484172386,0.0,0.004637221093018476,0.5617597137106976,1.8048303395232268,0.12933062324434194,0.0024893233151391967,4238.6028899918165,33.92251292510457,-1.6379420810411958
rv336_dd_c_tight_4,62072.167229177125,496.77604825271806,55.185846569156126,37.81897132692612,2.256859406813123,1.479760757420406,81,3456,1393.2323113279488,0,False,0.5280458619232442,0.0,0.00465434946445292,0.5617597137106976,1.8048303395232268,0.1373010254185032,0.0,-7737.662770822877,-61.92595174728194,-2.245153430843871
rv336_dd_c_tight_4_rec_t1.150_dd0.20_w0.010,66073.04550610573,528.7958824018066,54.41699877177868,37.83136491365215,2.273986414180712,1.454038455348658,27,4168,1471.7487054415883,0,False,0.5307641618586378,0.0,0.0046452143330212164,0.5617597137106976,1.8048303395232268,0.1318884600452189,0.004590403544430996,-3736.7844938942726,-29.90611759819342,-3.0140012282213178
rv336_dd_c_tight_4_rec_t1.200_dd0.20_w0.010,69098.39273282462,553.0083452006772,54.420930452402686,37.832019693843,2.287225165181388,1.4231292140085765,28,4080,1530.8908363960566,0,False,0.5310747563273157,0.0,0.004725146733048622,0.5617597137106976,1.8048303395232268,0.13026697421609154,0.00433918743005915,-711.4372671753808,-5.693654799322758,-3.010069547597311
rv336_dd_c_tight_4_rec_t1.225_dd0.20_w0.010,64319.20272112229,514.7595255792099,54.43561561818457,37.829425815691714,2.26577326104664,1.4086214303333129,31,4141,1429.2645666491067,0,False,0.5302006384384446,0.0,0.0046417886587343275,0.5617597137106976,1.8048303395232268,0.13312170278849886,0.004544727887272478,-5490.627278877713,-43.94247442079006,-2.995384381815427
rv336_dd_c_tight_4_rec_t1.250_dd0.20_w0.010,69398.74534616094,555.4121276203357,54.935865076276535,37.8317301663755,2.288380688912713,1.3946930794248285,33,4072,1530.7508328078018,0,False,0.5307116348529055,0.0,0.004824491287368397,0.5617597137106976,1.8048303395232268,0.13152305478795076,0.004362025258638409,-411.0846538390615,-3.2898723796643026,-2.4951349237234624
rv336_dd_c_tight_4_rec_t1.200_dd0.22_w0.012,67036.71854585093,536.5083517074904,55.23147233099207,37.81893025713342,2.280664847320078,1.4221685314651136,81,3871,1488.1982018913736,0,False,0.5294763149146016,0.0,0.004714869710187955,0.5617597137106976,1.8048303395232268,0.13403521593166923,0.002534998972297714,-2773.111454149068,-22.19364829250958,-2.199527669007928
rv336_dd_c_tight_4_rec_t1.250_dd0.22_w0.012,75360.25497144023,603.1232890871566,55.11011247753916,37.81891266818138,2.313072709369715,1.3937891367598594,81,3834,1662.8081503772305,0,False,0.5308203211264909,0.0,0.004881585858816545,0.5617597137106976,1.8048303395232268,0.12606481375750794,0.0024208098294014207,5550.424971440225,44.42128908715665,-2.3208875224608363
rv336_dd_e_tight_1,62552.94519749121,500.6238111043714,55.96593173712468,37.85116953364023,2.2622445028517872,1.4555636473170537,116,3339,1380.3915293299747,0,False,0.5320511411372021,0.0,0.00477881563020988,0.5617597137106976,1.8048303395232268,0.11067211729508758,0.0,-7256.884802508794,-58.078188895628614,-1.4650682628753202
rv336_dd_e_tight_1_rec_t1.150_dd0.20_w0.010,73433.93437473959,587.7065576209651,54.71187827152202,37.9438446033534,2.3019717633830203,1.4414850780911956,28,3884,1636.944130080487,0,False,0.5352241270533664,0.0,0.004800511567360175,0.5617597137106976,1.8048303395232268,0.09996117569141526,0.004247836115742115,3624.104374739589,29.0045576209651,-2.7191217284779796
rv336_dd_e_tight_1_rec_t1.200_dd0.20_w0.010,70940.31868170423,567.7496493133592,55.271832514709516,37.94249319859852,2.2918020943290554,1.41171106082266,33,4021,1575.3760913770889,0,False,0.5347285461731965,0.0,0.004758261584488548,0.5617597137106976,1.8048303395232268,0.10229063420649964,0.004567565715851736,1130.488681704228,9.047649313359216,-2.1591674852904816
rv336_dd_e_tight_1_rec_t1.225_dd0.20_w0.010,72673.17624462568,581.6180571798774,55.28722761343807,37.942916216013565,2.2986710947909654,1.397716503010735,41,3973,1604.733164492286,0,False,0.5349466474361283,0.0,0.004602964350149588,0.5617597137106976,1.8048303395232268,0.10135428323475004,0.004362025258638409,2863.3462446256744,22.916057179877384,-2.1437723865619276
rv336_dd_e_tight_1_rec_t1.250_dd0.20_w0.010,73037.53746083572,584.5341133320186,55.29183791106802,37.94297133103303,2.3002190538187506,1.384273544446872,41,3959,1614.7712795315852,0,False,0.5350579818504523,0.0,0.004629227853015736,0.5617597137106976,1.8048303395232268,0.10124009409185375,0.004316349601479892,3227.7074608357216,25.832113332018594,-2.1391620889319753
rv336_dd_e_tight_1_rec_t1.200_dd0.22_w0.012,73756.08852778233,590.284822151119,56.14987366256734,37.92996525156542,2.3062967554806213,1.4202810612591352,81,3747,1637.5809682754605,0,False,0.5339760246149127,0.0,0.004857606138808323,0.5617597137106976,1.8048303395232268,0.1027017151209263,0.0024436476579806792,3946.2585277823237,31.58282215111899,-1.28112633743266
rv336_dd_e_tight_1_rec_t1.250_dd0.22_w0.012,74810.52617966515,598.7236989168879,56.210906550504646,37.929948715926606,2.310357679359574,1.3920569786892067,81,3738,1659.4727685203773,0,False,0.5340982069978116,0.0,0.004729714298764474,0.5617597137106976,1.8048303395232268,0.10233630986365816,0.0024208098294014207,5000.696179665145,40.021698916887885,-1.2200934494953515
rv336_dd_e_tight_2,63657.36922363816,509.46273888465913,55.40948145084581,37.930003861553224,2.263045917754843,1.4797582584777285,82,3381,1432.5695268121588,0,False,0.5311227885958794,0.0,0.004647498115879142,0.5617597137106976,1.8048303395232268,0.11156279260967868,0.0,-6152.4607763618405,-49.23926111534087,-2.0215185491541874
rv336_dd_e_tight_2_rec_t1.150_dd0.20_w0.010,63891.36052360051,511.33541835614653,55.227335474993225,37.94016189619121,2.26230640058233,1.441485080922405,28,4069,1431.7179170097543,0,False,0.5324219985327389,0.0,0.004713727818758993,0.5617597137106976,1.8048303395232268,0.1082284696371069,0.004590403544430996,-5918.469476399492,-47.366581643853465,-2.203664525006772
rv336_dd_e_tight_2_rec_t1.200_dd0.20_w0.010,64228.85568326084,514.0364600501067,55.22081105860629,37.940030830842915,2.263690717700948,1.4117110644526314,34,4083,1434.3462000910085,0,False,0.532617832912806,0.0,0.004774248064494028,0.5617597137106976,1.8048303395232268,0.10854819923721652,0.004636079201589513,-5580.974316739164,-44.66553994989329,-2.21018894139371
rv336_dd_e_tight_2_rec_t1.225_dd0.20_w0.010,70181.32491677436,561.6752694419716,55.28420427965597,37.94233826533357,2.2899003685586408,1.3977165060409635,41,3985,1551.6183051414432,0,False,0.5335176433588288,0.0,0.0046840386416059565,0.5617597137106976,1.8048303395232268,0.10539657889327883,0.004247836115742115,371.4949167743616,2.973269441971638,-2.1467957203440307
rv336_dd_e_tight_2_rec_t1.250_dd0.20_w0.010,70443.19997727557,563.7711082615091,55.70831745981422,37.942227640649065,2.2912305273576035,1.3842735464950329,41,4000,1552.52474543027,0,False,0.5332841265616058,0.0,0.004674903510174254,0.5617597137106976,1.8048303395232268,0.1065156324936625,0.004316349601479892,633.3699772755645,5.069108261509086,-1.7226825401857795
rv336_dd_e_tight_2_rec_t1.200_dd0.22_w0.012,74663.26403835733,597.5451303590022,55.58376920567392,37.929965251565456,2.3114530780437623,1.4202894896875575,81,3715,1654.372620387112,0,False,0.5333275815495446,0.0,0.004640646767305365,0.5617597137106976,1.8048303395232268,0.10382076872130998,0.0024436476579806792,4853.434038357329,38.8431303590022,-1.8472307943260802
rv336_dd_e_tight_2_rec_t1.250_dd0.22_w0.012,75273.08977198554,602.4256884512648,55.593821745261074,37.92994871592663,2.3136686982677706,1.3920622961443134,81,3735,1668.4736915077135,0,False,0.5335685206410556,0.0,0.004594971110146847,0.5617597137106976,1.8048303395232268,0.10334117432114555,0.0024208098294014207,5463.25977198554,43.72368845126482,-1.837178254738923
