name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_long_fraction,min_target_long_fraction,avg_target_short_fraction,avg_realized_vol_pct,p95_realized_vol_pct,vol_capped_share,recovery_boost_active_share,usd_gap_vs_reference,sol_gap_vs_reference,dd_gap_vs_reference
rs_lb24_u0.0050_g3_0.050_g2_0.050,69809.8275085028,558.7021009083858,57.43072635108229,37.94483512676391,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.5551830451960628,0.0,0.0047651129330623255,0.0,0.0,0.0,0.0,-0.00249149720184505,0.00010090838577525574,-0.00027364891770531585
rv336_dd_soft,70588.20873454672,564.931642533387,57.07479092402309,37.927765781869375,2.2890062902346204,1.4797559594693424,82,3402,1587.4826162936638,0,False,0.5380823256900877,0.0,0.004632653527302625,0.5617597137106976,1.8048303395232268,0.11583346655400005,0.0,778.3787345467135,6.22964253338705,-0.3562090759769063
rv336_dd_medium_plus_a,63664.77482815142,509.52200742818263,54.864857357118545,37.81891438936905,2.2617566667912863,1.4797611531607278,50,3576,1418.9631049117752,0,False,0.5261537591193104,0.0,0.0046806129673190675,0.5617597137106976,1.8048303395232268,0.16922830977230685,0.0,-6145.05517184858,-49.179992571817365,-2.566142642881452
rv336_dd_medium_plus_b,61874.56366745936,495.1945871745447,54.63210940872458,37.818970959010244,2.252684580716764,1.4797502176782602,52,3568,1381.898919369172,0,False,0.526862460621823,0.0,0.004741133213054103,0.5617597137106976,1.8048303395232268,0.15139196565190582,0.0,-7935.266332540639,-63.507412825455276,-2.7988905912754163
rv336_dd_medium_plus_c,61718.54529678772,493.945940750602,55.621280376690116,37.73600565839686,2.25520122877763,1.4759038673808291,87,3569,1365.6360116770225,0,False,0.5305401172315952,0.0,0.004653207573023957,0.5617597137106976,1.8048303395232268,0.1371868362756069,0.0,-8091.284703212281,-64.75605924939799,-1.8097196233098813
rv336_dd_medium_plus_d,63363.668864255305,507.1121957923594,55.67233404405456,37.93000351604262,2.2626130181323565,1.4797560102844995,54,3410,1426.98638035208,0,False,0.5316104080728558,0.0,0.004676045401603215,0.5617597137106976,1.8048303395232268,0.11727224975449334,0.0,-6446.161135744696,-51.58980420764061,-1.758665955945439
rv336_dd_medium_plus_e,64322.48393416791,514.7857857876584,56.11576863850725,37.93000386155322,2.2644175309565573,1.4797582584777287,82,3439,1450.5805028109344,0,False,0.5337376372390072,0.0,0.004654349464452919,0.5617597137106976,1.8048303395232268,0.10925617192317355,0.0,-5487.346065832091,-43.91621421234163,-1.3152313614927493
rv336_dd_medium_plus_a_rec_t1.075_dd0.18_w0.005,61502.377284926886,492.2159046412716,55.40800046815938,37.81891438906495,2.25160494897595,1.47975746010132,52,4449,1348.413874373739,0,False,0.5260741494627315,0.0,0.004734281864480326,0.5617597137106976,1.8048303395232268,0.17103249823006828,0.015849453034005527,-8307.452715073116,-66.48609535872839,-2.022999531840618
rv336_dd_medium_plus_a_rec_t1.150_dd0.18_w0.005,63234.57046037681,506.07899528112694,54.97781738261014,37.83005292422472,2.2635527352377345,1.4825767910048244,16,5708,1363.0108316449382,0,False,0.5275535386264621,0.0,0.004703450795898326,0.5617597137106976,1.8048303395232268,0.16584831114257656,0.015506885605316647,-6575.259539623192,-52.62300471887306,-2.4531826173898565
rv336_dd_medium_plus_a_rec_t1.200_dd0.18_w0.005,63381.51524293788,507.2550239530843,55.02047262946949,37.82982208572959,2.264151337175146,1.459043509702275,32,5778,1334.727724721523,0,False,0.5283172574541108,0.0,0.004706876470185215,0.5617597137106976,1.8048303395232268,0.16436385228492476,0.015392696462420353,-6428.314757062122,-51.44697604691572,-2.4105273705305095
rv336_dd_medium_plus_a_rec_t1.250_dd0.18_w0.005,64650.31576171179,517.4094898896502,55.3262939961136,37.82947973816501,2.2697270638014877,1.3864740997321092,41,5780,1332.3336034961483,0,False,0.5290706405328973,0.0,0.004757119693059584,0.5617597137106976,1.8048303395232268,0.1647292575421929,0.015552561262475164,-5159.514238288211,-41.29251011034978,-2.104706003886399
rv336_dd_medium_plus_a_rec_t1.150_dd0.20_w0.010,64226.49095035459,514.0175346166834,54.72378167151707,37.83107214088325,2.268424863474657,1.4806492371681512,26,4140,1423.3439291385976,0,False,0.5270190553188338,0.0,0.004757119693059584,0.5617597137106976,1.8048303395232268,0.16114371845524927,0.004453376572955444,-5583.3390496454085,-44.68446538331659,-2.7072183284829308
rv336_dd_medium_plus_a_rec_t1.200_dd0.20_w0.010,65148.76976304541,521.3987175913999,54.72584710866132,37.831046915215495,2.2724373689082458,1.4714143063785092,26,4113,1443.9032156397413,0,False,0.5272679870879369,0.0,0.004698883230182474,0.5617597137106976,1.8048303395232268,0.1599789891977071,0.004224998287162857,-4661.060236954589,-37.303282408600126,-2.7051528913386775
rv336_dd_medium_plus_a_rec_t1.250_dd0.20_w0.010,65981.35828942276,528.0620911518428,54.67648055517314,37.83116166894081,2.2764994029322003,1.4295593565801665,36,4110,1466.1865070023937,0,False,0.5275585984566079,0.0,0.004695457555895586,0.5617597137106976,1.8048303395232268,0.15927101651175007,0.0040422956585287875,-3828.4717105772434,-30.639908848157233,-2.7545194448268546
rv336_dd_medium_plus_a_rec_t1.150_dd0.25_w0.015,65614.12630972493,525.1230597016801,54.915905979610145,37.81891435832884,2.2697628781122314,1.4797611508741129,50,3693,1462.7778907309048,0,False,0.5270250222796091,0.0,0.00475141023591477,0.5617597137106976,1.8048303395232268,0.16121223194098705,0.0009135131431703473,-4195.70369027507,-33.578940298319935,-2.515094020389853
rv336_dd_medium_plus_a_rec_t1.200_dd0.25_w0.015,65958.79428073492,527.8815068486188,54.8776907702773,37.75341080188064,2.2779912804722287,1.4565517728978243,82,3531,1445.2299202303852,0,False,0.5271768938396612,0.0,0.004690889990179734,0.5617597137106976,1.8048303395232268,0.15965925959759747,0.0009363509717496061,-3851.0357192650845,-30.820493151381243,-2.5533092297227
rv336_dd_medium_plus_b_rec_t1.075_dd0.18_w0.005,59700.15468859087,477.79235445050716,55.18466502291336,37.73600565839686,2.2515456330693677,1.455429789650677,90,4081,1300.937973137112,0,False,0.5272188539071594,0.0,0.004802795350218101,0.5617597137106976,1.8048303395232268,0.15077534428026584,0.016214858291273667,-10109.675311409133,-80.90964554949284,-2.24633497708664
rv336_dd_medium_plus_b_rec_t1.150_dd0.18_w0.005,61370.35166309183,491.15927701554085,54.78188769802493,37.82878273071588,2.2526083102976937,1.4540475149847298,17,5733,1311.447819923743,0,False,0.5279662184881168,0.0,0.004682896750176993,0.5617597137106976,1.8048303395232268,0.15221412748075913,0.016283371777011443,-8439.47833690817,-67.54272298445915,-2.649112301975066
rv336_dd_medium_plus_b_rec_t1.200_dd0.18_w0.005,63866.63479408218,511.1375333660038,55.040122284694746,37.82939946809907,2.2641192298400457,1.4231433375249645,36,5714,1340.6937326930858,0,False,0.5292193468110046,0.0,0.004628085961586773,0.5617597137106976,1.8048303395232268,0.1461392650786763,0.01578093954826775,-5943.195205917822,-47.564466633996176,-2.390877715305251
rv336_dd_medium_plus_b_rec_t1.250_dd0.18_w0.005,64374.37137774387,515.201051442528,54.97080051219933,37.82900625397707,2.2659090556979136,1.3864740997321092,43,5724,1326.8995655637818,0,False,0.5299885838738587,0.0,0.0048210656130815085,0.5617597137106976,1.8048303395232268,0.1454312923927193,0.01580377737684701,-5435.458622256134,-43.50094855747204,-2.460199487800665
rv336_dd_medium_plus_b_rec_t1.150_dd0.20_w0.010,63377.933827344525,507.2263611632215,54.02805217700736,37.830261531041565,2.2629236259856023,1.454040157383661,25,4147,1414.0687066748615,0,False,0.5287350769468078,0.0,0.004708018361614178,0.5617597137106976,1.8048303395232268,0.14406102267796378,0.004430538744376184,-6431.896172655477,-51.4756388367785,-3.402947822992637
rv336_dd_medium_plus_b_rec_t1.200_dd0.20_w0.010,64094.703581065,512.9628137740295,54.420669721662776,37.83009589714329,2.266683635906013,1.4231372367594606,29,4132,1423.6007491033442,0,False,0.5283821677802245,0.0,0.0047319980816224,0.5617597137106976,1.8048303395232268,0.1442665631351771,0.004567565715851736,-5715.126418935004,-45.73918622597046,-3.0103302783372214
rv336_dd_medium_plus_b_rec_t1.250_dd0.20_w0.010,64880.01713777371,519.2478362366844,54.51636658182723,37.83007535785903,2.269969116729752,1.394701652856764,37,4132,1429.4126189105853,0,False,0.5287203021009702,0.0,0.004857606138808322,0.5617597137106976,1.8048303395232268,0.14412953616370155,0.004384863087217667,-4929.812862226288,-39.45416376331559,-2.9146334181727696
rv336_dd_medium_plus_b_rec_t1.150_dd0.25_w0.015,63947.7953296753,511.7870774683897,54.58416224190501,37.81897134838799,2.261003224148296,1.4797502464918428,52,3740,1434.5476791875603,0,False,0.5279409770764784,0.0,0.004711444035901066,0.5617597137106976,1.8048303395232268,0.1455911571927741,0.0010277022860666408,-5862.034670324705,-46.91492253161027,-2.846837758094985
rv336_dd_medium_plus_b_rec_t1.200_dd0.25_w0.015,64433.56538566291,515.6747930025042,54.65903187097666,37.81897134838756,2.2633325030184155,1.4797502464918086,52,3741,1447.2662108047107,0,False,0.5280163419107899,0.0,0.004598396784433737,0.5617597137106976,1.8048303395232268,0.14545413022129855,0.0009820266289081235,-5376.264614337095,-43.027206997495796,-2.7719681290233353
rv336_dd_medium_plus_c_rec_t1.075_dd0.18_w0.005,61129.397461672765,489.230872042199,55.67975952399829,37.8189713269261,2.248510293697652,1.479760757420405,81,4104,1373.277993179755,0,False,0.5307653195302526,0.0,0.0048735926188138035,0.5617597137106976,1.8048303395232268,0.13535980998926622,0.01612350697695663,-8680.432538327237,-69.471127957801,-1.7512404760017048
rv336_dd_medium_plus_c_rec_t1.150_dd0.18_w0.005,68958.93982528635,551.8922755124958,55.25376995904071,37.831643973856224,2.2830462553682564,1.4540499213327132,19,5585,1488.449197651059,0,False,0.5341424051719779,0.0,0.004799369675931212,0.5617597137106976,1.8048303395232268,0.12802886701532418,0.015301345148103319,-850.8901747136551,-6.809724487504241,-2.1772300409592873
rv336_dd_medium_plus_c_rec_t1.200_dd0.18_w0.005,64716.906746999164,517.9424309483727,56.376453318666144,37.828733161457606,2.265221310360514,1.4231390185696828,34,5792,1360.0684479298325,0,False,0.532021411379344,0.0,0.004741133213054104,0.5617597137106976,1.8048303395232268,0.13474318861762624,0.016260533948432184,-5092.923253000838,-40.759569051627295,-1.0545466813338535
