name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_long_fraction,avg_target_short_fraction,max_target_short_fraction,hedge_gate_active_share,bars_with_short_target,base_share,green_share,yellow_share,orange_share,red_share,recovery_share,usd_gap_vs_reference,sol_gap_vs_reference,dd_gap_vs_reference
rs_lb24_u0.0050_g3_0.050_g2_0.050,69809.8275085028,558.7021009083858,57.43072635108229,37.94483512676391,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.5551830451960628,0.0047651129330623255,0.05,0.8210199374243496,4173,1.0,0.0,0.0,0.0,0.0,0.0,-0.00249149720184505,0.00010090838577525574,-0.00027364891770531585
sm_o0.65_s0.10_r0.25_rec1.15_dd0.15_w0.05,57887.8444828,463.2880710908363,58.492467639214155,38.91840375710176,2.161391521739708,1.47228995944064,59,3502,1298.5674207980624,0,False,0.6729303217850047,0.004586977870144107,0.1,0.8270034485121155,4008,0.0,0.26877840454929547,0.25804462511704385,0.0005937835430607258,0.4715098088473748,0.001073377943225158,-11921.985517200003,-95.4139289091637,1.0614676392141575
sm_o0.80_s0.05_r0.25_rec1.20,48195.473230769276,385.7180730753843,59.109957101454235,39.30812809018216,2.1135800382970618,1.4744625995321128,87,3902,1063.186350684795,0,False,0.6724946902048553,0.004791376435928472,0.05,0.8238061525110193,4196,0.0,0.2670427295772718,0.25733665243108683,0.00294607988672437,0.47148697101879555,0.0011875670861214516,-21614.356769230726,-172.98392692461567,1.6789571014542375
sm_o0.80_s0.05_r0.25_rec1.15,48066.38466427294,384.6849512947014,58.88327702286603,39.30834613373908,2.1129370047999636,1.474507280243564,87,3893,1063.2582193494807,0,False,0.6724370246876927,0.004702308904469363,0.05,0.82439993605408,4118,0.0,0.26701989174869256,0.25733665243108683,0.00294607988672437,0.47148697101879555,0.0012104049147007104,-21743.44533572706,-174.01704870529858,1.4522770228660349
sm_o0.80_s0.05_r0.25_rec1.10,45207.57874183469,361.8053520755077,58.8958630540967,39.308114567144145,2.0930507522428146,1.4746349365040787,87,3785,1007.5874718984041,0,False,0.6723713659305274,0.00462351839587092,0.05,0.8247425034827689,4049,0.0,0.26688286477721695,0.2573594902596661,0.002968917715303629,0.47148697101879555,0.001301756229017745,-24602.251258165314,-196.8966479244923,1.4648630540967034
sm_o0.65_s0.10_r0.25_rec1.15,39330.456860995204,314.76956271304687,58.16126977343232,40.206222110322756,2.0279060247050746,1.4793629211589436,112,4328,843.7235311652107,0,False,0.6719871194646813,0.004823349395939434,0.1,0.8216822344531481,4159,0.0,0.26697421609153404,0.25733665243108683,0.002968917715303629,0.47148697101879555,0.0012332427432799689,-30479.373139004798,-243.93243728695313,0.730269773432326
sm_o0.65_s0.10_r0.00_rec1.15,39330.456860995204,314.76956271304687,58.16126977343232,40.206222110322756,2.0279060247050746,1.4793629211589436,112,4328,843.7235311652107,0,False,0.5541153767099823,0.004823349395939434,0.1,0.8216822344531481,4159,0.0,0.26697421609153404,0.25733665243108683,0.002968917715303629,0.47148697101879555,0.0012332427432799689,-30479.373139004798,-243.93243728695313,0.730269773432326
sm_o0.65_s0.10_r0.50_rec1.15,39330.456860995204,314.76956271304687,58.16126977343232,40.206222110322756,2.0279060247050746,1.4793629211589436,112,4328,843.7235311652107,0,False,0.7898588622193803,0.004823349395939434,0.1,0.8216822344531481,4159,0.0,0.26697421609153404,0.25733665243108683,0.002968917715303629,0.47148697101879555,0.0012332427432799689,-30479.373139004798,-243.93243728695313,0.730269773432326
sm_o0.65_s0.10_r0.25_rec1.20,38681.75523413131,309.5778730222594,58.39462083995102,40.18067908844581,2.040115333837734,1.4793629211587813,110,4325,827.8363348700485,0,False,0.672030511338982,0.0047959440016443235,0.1,0.822024801881837,4134,0.0,0.2669513782629548,0.2573138146025076,0.0030145933724621465,0.47148697101879555,0.0012332427432799689,-31128.07476586869,-249.12412697774062,0.9636208399510195
sm_o0.65_s0.10_r0.25_rec1.10,38439.54769709746,307.6394373517204,58.163514664886726,40.226283274814996,2.0224763310216005,1.479362921162966,113,4159,837.7784241866306,0,False,0.6719066161189393,0.004875876401671729,0.1,0.8233493959394341,4206,0.0,0.2669057026057962,0.25733665243108683,0.0030145933724621465,0.47148697101879555,0.0012560805718592276,-31370.28230290254,-251.0625626482796,0.7325146648867289
