name,target_long_fraction,enable_drawdown_governor,final_portfolio_value_usd,final_sol_equiv,total_return_pct,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,total_liquidations,liquidated,max_target_long_fraction,avg_target_long_fraction,min_target_long_fraction,max_equity_drawdown_signal_pct,final_collateral_SOL,final_collateral_ETH,final_collateral_USDC,final_debt_USDC_value,usd_gap_vs_static_1_5,sol_gap_vs_static_1_5,dd_gap_vs_static_1_5
static_long1.50,1.5,False,247243.50621364784,1978.7395455273936,160011.06476728906,73.66285123343967,51.83663692262226,1.9367864327502935,1.2390551906999954,0,False,1.5,1.5,1.5,73.65378624132394,0.0,0.0,247243.50621364784,0.0,-0.0037863521720282733,-4.726064162241528e-07,2.3343966404354433e-07
static_long1.40,1.4,False,189445.53208173029,1516.1707249438198,122581.99202287933,71.05213739581545,49.393595084387655,1.9336312681983956,1.270745070505141,0,False,1.4,1.4000000000000001,1.4,71.01308097629075,0.0,-1.4210854715202004e-14,189445.5320817303,0.0,-57797.977918269724,-462.56882105618024,-2.6107136041845536
static_long1.30,1.3,False,153496.3173106599,1228.461923254581,99301.83739843276,67.73273889906712,46.13482420187846,1.9514925103490381,1.3098653801649103,0,False,1.3,1.3,1.3,67.69069475811169,0.0,0.0,153496.3173106599,0.0,-93747.1926893401,-750.277622745419,-5.930112100932888
static_long1.25,1.25,False,128395.47792901413,1027.5748533734625,83046.92263244018,66.20629398356344,44.36592762120295,1.947577223617757,1.3361347182950856,0,False,1.25,1.25,1.25,66.16395659191167,0.0,0.0,128395.47792901413,0.0,-118848.03207098588,-951.1646926265375,-7.456557016436562
static_long1.20,1.2,False,105716.94430830106,846.0739840600324,68360.65555517488,64.62328810701979,43.19337826089005,1.939830326331364,1.364593205127158,0,False,1.2,1.2,1.2,64.58074245230785,0.0,0.0,105716.94430830106,0.0,-141526.56569169895,-1132.6655619399676,-9.039562892980214
static_long1.10,1.1,False,78944.12492845883,631.8057217163572,51022.99244169073,61.15579650057694,40.12540322545955,1.9608158371288413,1.4292717062658824,0,False,1.1,1.0999999999999999,1.1,61.11297795778772,0.0,-3.552713678800501e-15,78944.12492845884,0.0,-168299.38507154118,-1346.933824283643,-12.507054499423063
static_long1.07,1.075,False,70853.33810130587,567.0535262209353,45783.52422050632,60.246311769603565,39.65507137112452,1.9573542077173385,1.4473215465879437,0,False,1.075,1.075,1.075,60.20348769480067,0.0,0.0,70853.33810130587,0.0,-176390.17189869413,-1411.6860197790647,-13.416539230396438
governor_mild,1.5,True,67171.98295715361,537.5909000172358,43399.53565415982,66.54591725204507,48.20963035371497,1.7359510955175643,1.2505041896369227,0,False,1.5,1.2286066640783795,1.0,66.54591725204507,0.0,0.0,67171.98295715361,0.0,-180071.5270428464,-1441.1486459827643,-7.116933747954931
static_long1.05,1.05,False,65410.66409132549,523.4947106148499,42258.93283986885,59.35441151618135,38.45869457981893,1.958531990571394,1.466230913801255,0,False,1.05,1.05,1.05,59.31164597892196,0.0,3.552713678800501e-15,65410.66409132548,0.0,-181832.84590867453,-1455.24483538515,-14.308439483818653
static_long1.02,1.025,False,55539.83776099278,444.4965006882175,35866.73860963138,57.84305423521597,37.89922119169567,1.9438746238644862,1.486084141978265,0,False,1.025,1.0250000000000001,1.025,57.80085509030629,0.0,0.0,55539.83776099278,0.0,-191703.67223900722,-1534.2430453117825,-15.81979676478403
static_long1.00,1.0,False,50979.73047145211,408.0010441892926,32913.6837659967,57.398961798271195,37.46627691212692,1.9374491337818085,1.506886932533485,0,False,1.0,1.0,1.0,57.356318116387584,0.0,0.0,50979.73047145211,0.0,-196263.7795285479,-1570.7385018107075,-16.26388920172881
governor_balanced,1.5,True,37192.81954819851,297.66162103400166,23985.49381440131,61.298488704718224,45.41105597343693,1.5940110697376726,1.2557740093205372,0,False,1.5,1.0937549957750017,0.75,61.298488704718224,0.0,1.7763568394002505e-15,37192.8195481985,0.0,-210050.6904518015,-1681.0779249659984,-12.36436229528178
governor_strict,1.5,True,11270.25316387846,90.19810455284882,7198.441370210115,54.51543639936526,40.403377643102765,1.3619765541225337,1.2692153868904834,0,False,1.5,0.7844851211546806,0.5,54.51543639936526,0.0,4.440892098500626e-16,11270.253163878459,0.0,-235973.25683612155,-1888.541441447151,-19.147414600634747
